lon,lat,source,country,year,wealthpooled,wealthpooled5country,households,urban_rural
91.082107,23.883137,BDHR41DT.ZIP,Bangladesh,2000,0.8661459900220351,-0.7495889983089886,25,0
91.089491,23.173983,BDHR41DT.ZIP,Bangladesh,2000,0.9262632819792319,-0.7323147268281593,32,0
91.113097,23.962027,BDHR41DT.ZIP,Bangladesh,2000,0.19381907563702006,0.06437393766403518,33,1
91.114572,23.996975,BDHR41DT.ZIP,Bangladesh,2000,0.021524789819088425,0.3753835920595061,32,1
91.120654,23.45607,BDHR41DT.ZIP,Bangladesh,2000,0.6007253793745441,-0.39697777785841876,28,0
91.136957,22.345902,BDHR41DT.ZIP,Bangladesh,2000,1.025511120072448,-0.8211624611109947,26,0
91.172799,23.44854,BDHR41DT.ZIP,Bangladesh,2000,-0.879101940852265,1.5022033284239904,71,1
91.188349,23.454427,BDHR41DT.ZIP,Bangladesh,2000,0.35196862138818047,-0.03232700262249898,30,1
91.190732,24.170909,BDHR41DT.ZIP,Bangladesh,2000,0.802044735886983,-0.7149551792896438,38,0
91.201883,24.087098,BDHR41DT.ZIP,Bangladesh,2000,0.6427036964743367,-0.5668654249328045,32,0
91.202607,23.456766,BDHR41DT.ZIP,Bangladesh,2000,0.407076657925701,-0.16775977599665784,28,1
91.212332,23.879483,BDHR41DT.ZIP,Bangladesh,2000,-0.10114660535839928,0.5318951870134377,31,0
91.295066,23.255586,BDHR41DT.ZIP,Bangladesh,2000,0.43909902067699014,-0.14435520428967444,26,0
91.328811,24.64286,BDHR41DT.ZIP,Bangladesh,2000,0.7065807552896449,-0.6735203380494715,28,0
91.334651,24.045836,BDHR41DT.ZIP,Bangladesh,2000,0.5320910208423839,-0.44374173428057184,26,0
91.371779,24.403758,BDHR41DT.ZIP,Bangladesh,2000,0.5097367088317614,-0.32069068895064073,45,0
91.382058,24.434133,BDHR41DT.ZIP,Bangladesh,2000,0.7555589289738502,-0.6640468263455257,31,0
91.396929,22.970068,BDHR41DT.ZIP,Bangladesh,2000,0.8703461576838851,-0.6022002466526843,26,0
91.404307,24.376427,BDHR41DT.ZIP,Bangladesh,2000,0.24920569754441937,0.017011935206348926,38,1
91.443617,23.191455,BDHR41DT.ZIP,Bangladesh,2000,0.6964592509260017,-0.5109908837876763,24,0
91.468656,22.550188,BDHR41DT.ZIP,Bangladesh,2000,0.8977649266541627,-0.7005267778871552,24,0
91.506264,24.484054,BDHR41DT.ZIP,Bangladesh,2000,0.9235703362715617,-0.7682065734519782,30,0
91.538056,24.173489,BDHR41DT.ZIP,Bangladesh,2000,0.7926597050400292,-0.6719343643789769,31,0
91.556769,24.432759,BDHR41DT.ZIP,Bangladesh,2000,0.7898778809332704,-0.707660580600226,24,0
